"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"AC243960.1",3.95198173202571e-96,10.109696538408,0.035,0,1.0952522172136e-91,"AC243960.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"GRK2",2.95407165567712e-95,10.1314989672614,0.035,0,8.18691418654358e-91,"GRK2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CXCR3",4.967190532061e-95,1.75168538830825,0.137,0.061,1.37660718405539e-90,"CXCR3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NDUFAF8",1.22927829294458e-92,9.95464446371818,0.034,0,3.40682186106662e-88,"NDUFAF8","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SLC7A5",1.52689761219614e-90,2.05214428759886,0.083,0.025,4.23164404244039e-86,"SLC7A5","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MCRIP1",5.08750746715772e-90,10.025207838446,0.033,0,1.40995181944809e-85,"MCRIP1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC116366.3",8.40368003824589e-90,10.036195971709,0.033,0,2.32899588579947e-85,"AC116366.3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"OVCA2",1.33685562240435e-89,6.86794696280888,0.033,0,3.70496167193143e-85,"OVCA2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"PDCD1",3.50364044380203e-88,2.3383053023569,0.07,0.018,9.70998912595295e-84,"PDCD1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CD5",2.59384079282082e-85,1.0953008774666,0.213,0.124,7.18857037322363e-81,"CD5","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
